address,total_gonka,e265,e266,e267,e268,e269,e270,e271,e272,e273,e274,e275,e276
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,158541.879456,0.000000,18493.620536,24542.605941,9535.553632,6399.886775,18103.322464,8158.908212,7499.652398,19169.626461,12793.099133,18560.944855,15284.659048
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,101147.807219,5444.485833,42339.886222,53363.435164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,96601.320933,0.000000,0.000000,0.000000,0.000000,0.000000,10104.152338,4048.937170,3429.161637,21958.330292,14542.456280,24286.657511,18231.625705
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,79247.555227,0.000000,26783.899675,37197.986841,5885.701764,4850.669628,4529.297319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,73073.708453,0.000000,29956.256306,30065.862125,0.000000,1262.061523,6715.103242,1890.622372,0.000000,1568.692671,0.000000,942.035391,673.074824
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,66487.744752,0.000000,11068.294374,18968.875450,7724.067233,6362.213296,7030.870384,2028.751664,1236.430111,5880.820436,2375.026126,3812.395677,0.000000
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,52290.195676,0.000000,0.000000,0.000000,0.000000,9742.361488,10319.286037,4317.700365,1839.120794,5799.261886,3590.844143,11600.350023,5081.270940
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,39809.676543,20896.527179,18913.149364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,33750.579636,0.000000,8543.711791,14098.104837,6071.818959,5036.944049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,20610.390028,0.000000,0.000000,0.000000,1023.033686,129.764203,1276.539185,81.378497,0.000000,1489.004729,5380.531224,7802.962263,3427.176240
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,18234.887511,0.000000,0.000000,7314.568304,3168.472164,2866.533104,3954.815067,930.498872,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,17630.158097,0.000000,1885.582278,10930.842081,0.000000,0.000000,983.355139,0.000000,0.000000,0.000000,0.000000,2044.155227,1786.223372
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,13958.367773,4251.091850,0.000000,5504.854093,0.000000,0.000000,0.000000,0.000000,0.000000,2119.399947,0.000000,2083.021883,0.000000
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,12612.234866,0.000000,7414.493026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5197.741840,0.000000
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,11688.555563,0.000000,0.000000,0.000000,2339.293588,1046.485508,3240.476100,1621.502253,0.000000,3440.798114,0.000000,0.000000,0.000000
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,11366.419254,0.000000,4122.713795,5086.863739,2156.841720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,11262.520198,0.000000,0.000000,0.000000,2384.499296,1089.182117,3289.208043,1132.160499,0.000000,3367.470243,0.000000,0.000000,0.000000
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,11021.183080,0.000000,0.000000,5172.564906,0.000000,1364.617103,1202.846979,0.000000,0.000000,1690.282253,0.000000,0.000000,1590.871840
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,10934.181496,0.000000,0.000000,0.000000,0.000000,0.000000,1183.433441,1480.874499,0.000000,4217.100831,0.000000,2252.341970,1800.430756
