address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,105906,168957,65017758794158,65017.7588,40731101283567,40731.1013,24286657510591,24286.6575
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,84736,129372,49784723277034,49784.7233,31223778421724,31223.7784,18560944855310,18560.9449
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,62474,91312,35138535787284,35138.5358,23538185764202,23538.1858,11600350023082,11600.3500
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,45333,59823,23020989863355,23020.9899,15218027600358,15218.0276,7802962262997,7802.9623
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,27180,30733,11826623229702,11826.6232,6628881389869,6628.8814,5197741839833,5197.7418
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,22344,32087,12347667314335,12347.6673,8512952171525,8512.9522,3834715142810,3834.7151
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,27511,36823,14170167155414,14170.1672,10357771478563,10357.7715,3812395676851,3812.3957
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,9817,15670,6030103992758,6030.1040,3777762022776,3777.7620,2252341969982,2252.3420
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,9245,14561,5603340410884,5603.3404,3510313249645,3510.3132,2093027161239,2093.0272
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,9177,14488,5575248669245,5575.2487,3492226785850,3492.2268,2083021883395,2083.0219
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,9043,14435,5554853295179,5554.8533,3479912597735,3479.9126,2074940697444,2074.9407
gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,9200,14383,5534842739492,5534.8427,3467213591241,3467.2136,2067629148251,2067.6291
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,8909,14221,5472502162157,5472.5022,3428346935002,3428.3469,2044155227155,2044.1552
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,12654,15039,5787283595857,5787.2836,4845248205030,4845.2482,942035390827,942.0354
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,2441,3878,1492325672234,1492.3257,934723841634,934.7238,557601830600,557.6018
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,4353,5244,2017987577410,2017.9876,1600074818244,1600.0748,417912759166,417.9128
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,2305,2476,952810305428,952.8103,596468486839,596.4685,356341818589,356.3418
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,10134,4233,1628936196639,1628.9362,1628936196639,1628.9362,0,0.0000
